Keyword,Id,CreatedAt,Country,Country_Code,Place,RetweetedStatus,UsrFavouriteCount,Text,Lang,UsrName,UsrId,UsrLang,UsrLocation,UsrFollowersCount,UsrFriendsCount,UsrVerified,UsrCreatedAt,UsrDescription,UsrGeoEnabled,UsrStatuesCount,UsrTimeZone,UsrUtcOffset,Retweeted,Retweet_Cont
ZIKA,706342836724174848,Mar 06 2016 04:57:10,United States,US,Detroit-MI,0,17510,'@mashlynnc Veronica just told me I look like I have the Zika virus with this filter',en,mashlynnc,389771164,en,Detroit MI,629,373,False,Oct 12 2011 23:46:57,I'm like a jack of all trades who's a master of none,True,23433,Eastern Time (US & Canada),-18000,False,0
ZIKA,706342144634585088,Mar 06 2016 04:54:25,Panama,PA,Panama,0,37419,'Campaña de Prevención del ZIKA Una epidemia que no mata pero que produce consecuencias muy serias https//tco/cswlAkMlES',es,edunar54,365852358,es,Panamá,23480,21050,False,Sep 01 2011 03:43:31,,True,256102,Central America,-21600,False,3
ZIKA,706341091474280448,Mar 06 2016 04:50:14,Brasil,BR,Águas Mornas-Brasil,0,1311,'Ana Júlia ta c zika virus',und,anacmedeiross,371451603,pt,Santo Amaro,476,218,False,Sep 10 2011 21:52:10,,True,7803,Brasilia,-10800,False,0
ZIKA,706340026712530944,Mar 06 2016 04:46:00,Brasil,BR,São José dos Campos-Brasil,0,1360,'Que festa zika',pt,lukaozag,4173789537,pt,,135,443,False,Nov 12 2015 20:32:34,Acredite sempre em seus sonhos,True,847,None,None,False,0
ZIKA,706338741510656000,Mar 06 2016 04:40:53,Zambia,ZM,Lusaka-Zambia,0,309,"'""@eNCA Colombia registers almost 50000 Zika cases https//tco/eaowMaAk9a https//tco/MmmbKopHnj"" #monsanto gon kill us all'",en,DMK_LSK,224520490,en,Lusaka/kasama Zambia,460,901,False,Dec 09 2010 06:28:34,I can do all things through christ who strengthens me (phillipians 4 vs 13 ) #AntiMainstream #introvent #AfricanFirst #LiverpoolFC #BostonCeltics #LIVESECOND #,True,4555,Harare,7200,False,0
ZIKA,706348256515723265,Mar 06 2016 05:18:42,Brasil,BR,Pirangi-Brasil,0,3638,'Maribond Chico cunha Zika vírus Aedes Mãe dengue',pt,heykuasne,3720022995,pt,aquimesmo| 15 years old| im Gi,1266,543,False,Sep 20 2015 18:07:09,• @Matheuskuasne I'll never leave again cause you are one the only one•(FCO) MatheusCaiqueRavanhaAruanJuaum seguem ❤Outro fc @heyjuaum (VVBPPAGM❤),True,10102,Pacific Time (US & Canada),-28800,False,0
ZIKA,706351501015281664,Mar 06 2016 05:31:35,Panama,PA,Panama,0,37422,'El canal estatal @SERTVPANAMA se la pasa publicando cuñas de políticas de #JC_Varela pero nada sobre la prevención del ZIKA #PorDios!',es,edunar54,365852358,es,Panamá,23480,21050,False,Sep 01 2011 03:43:31,,True,256109,Central America,-21600,False,1
ZIKA,706362339377831936,Mar 06 2016 06:14:39,Indonesia,ID,East Java-Indonesia,0,1036,'@budimandjatmiko ) sy pikir pagi2 kena virus Zika Zik Zika Zik kenalpot dirimu D',in,inasetyawati,59377684,en,,324,706,False,Jul 23 2009 05:58:49,,True,3766,Pacific Time (US & Canada),-28800,False,0
ZIKA,706368403683074048,Mar 06 2016 06:38:45,Brasil,BR,Cabo Frio-Brasil,0,682,'Que zika em E as articulações doendo não me deixam dormir',pt,Afonsombf,58792286,pt,Cabo Frio RJ,156,265,False,Jul 21 2009 13:19:26,Instagram & Snapchat Afonsombf,True,402,Brasilia,-10800,False,0
ZIKA,706367235875590144,Mar 06 2016 06:34:07,Brasil,BR,Braço do Norte-Brasil,0,1,"'⚡️ ""Economist zika não ameaça Rio 2016"" https//tco/5KCFp6akCG'",pt,Habibi1500,4913252553,pt,Braço do Norte Brasil,15,102,False,Feb 15 2016 12:06:33,,True,29,None,None,False,0
ZIKA,706373490299924480,Mar 06 2016 06:58:58,United States,US,Louisiana-USA,0,997,"'I'm gonna name my kid Zika And the rate I'm going my ""kid"" will be a dog'",en,KingCharles68,28746645,en,Breaux Bridge LA,101,418,False,Apr 04 2009 05:23:59,29 yrs old hometown Pine Prairie got my BS degree in Agribusiness in 2009 living in Breaux Bridge Mailman in New Iberia now married to Amanda,True,8201,Central Time (US & Canada),-21600,False,0
ZIKA,706371097005006848,Mar 06 2016 06:49:27,Brasil,BR,Rio de Janeiro-Brazil,0,8784,'Meu Snap ta zika 😎👌 millafreitas15',in,MillaDuduzinha,2954992726,pt,Piedade Rio de Janeiro,1315,816,False,Jan 01 2015 15:29:27,Snap▶ Millafreitas15\ Facebook▶ Milla Freitas \ Instagram▶ milladuduzette\ Wpp▶ 971375411 ♥@Duduzinhomc♥♥Mjj♥,True,13590,None,None,False,0
ZIKA,706368712161562624,Mar 06 2016 06:39:59,Brasil,BR,Guarulhos-Brasil,0,668,'@_paquiel10 já já eu vou zika 💁🏻',pt,alliciachaves,123398424,en,,2801,1819,False,Mar 16 2010 00:06:09,⠀⠀⠀⠀Hugged Travis on May 09th 2015 ⠀⠀⠀⠀⠀⠀⠀⠀Guilherme Paquiel ❤️,True,34855,Greenland,-10800,False,0
ZIKA,706376127519006720,Mar 06 2016 07:09:27,Brasil,BR,Sao Paulo-Brazil,0,158,'Esses videos do whindersson Nunes é zika mano kkkkkkkkkkk',pt,_FehSousa10,105868085,pt,,119,54,False,Jan 17 2010 19:26:01,,True,1059,Hawaii,-36000,False,0
ZIKA,706376021843509249,Mar 06 2016 07:09:02,Cuba,CU,Cuba,0,15,'as long as it has nothing to do with the trending Zika virus',en,marc_ncheche,222410959,en,Bloemfontein,363,296,False,Dec 03 2010 10:20:02,South African Ambassador ||Trying my luck to get a medical degree || nothing beats nor live up to one being themselves keep it real* ),True,23790,Greenland,-10800,False,0
ZIKA,706382734248181761,Mar 06 2016 07:35:42,Indonesia,ID,Kebayoran Lama-Indonesia,0,32,'☕☕☕ (with Zika at @coffeebeanindo) — https//tco/Ej6Bz9CZM8',en,willarivani,105665904,id,,809,332,False,Jan 17 2010 02:48:27,,True,28788,Jakarta,25200,False,0
ZIKA,706381021219057666,Mar 06 2016 07:28:54,Brasil,BR,Sao Paulo-Brazil,0,104244,'@folha @UOL Fora PT Fora Zika Dilma #LulaNaCadeia',pt,palestra77,1663622202,pt,,2303,3422,False,Aug 11 2013 23:08:15,THE BEST WE HAVE IN THE WORLD WOMAN PALMEIRAS,True,88480,None,None,False,0
ZIKA,706380638300082176,Mar 06 2016 07:27:22,Uruguay,UY,Montevideo-Uruguay,0,5195,'Me duele la cabeza si me picó el zika?',es,lucasolialv19,1862585252,es,Montevideo Uruguay,627,520,False,Sep 14 2013 03:55:30,17 años actor bailarín cantante,True,27609,Brasilia,-10800,False,0
ZIKA,706379761866637312,Mar 06 2016 07:23:53,Brasil,BR,Sao Paulo-Brazil,0,158,'Olha que linda dançando funk passando a piriquita no poste mano esse whindersson Nunes é zika kkkkkkkkk',pt,_FehSousa10,105868085,pt,,119,55,False,Jan 17 2010 19:26:01,,True,1062,Hawaii,-36000,False,0
ZIKA,706388582450241536,Mar 06 2016 07:58:56,Brasil,BR,Sao Paulo-Brazil,0,675,'fernandinho é zika',pt,namorenao,3404818793,pt,São Paulo Brasil,72,68,False,Aug 05 2015 22:04:52,,True,3175,None,None,False,0
ZIKA,706388513856622593,Mar 06 2016 07:58:40,Brasil,BR,Sao Paulo-Brazil,0,675,'o sena é zika',pt,namorenao,3404818793,pt,São Paulo Brasil,72,68,False,Aug 05 2015 22:04:52,,True,3175,None,None,False,0
ZIKA,706388469833187328,Mar 06 2016 07:58:29,Brasil,BR,Sao Paulo-Brazil,0,675,'a larissa é zika',pt,namorenao,3404818793,pt,São Paulo Brasil,72,68,False,Aug 05 2015 22:04:52,,True,3175,None,None,False,0
ZIKA,706388431308464128,Mar 06 2016 07:58:20,Brasil,BR,Sao Paulo-Brazil,0,675,'a estela é zika',pt,namorenao,3404818793,pt,São Paulo Brasil,72,68,False,Aug 05 2015 22:04:52,,True,3175,None,None,False,0
ZIKA,706388389281579008,Mar 06 2016 07:58:10,Brasil,BR,Sao Paulo-Brazil,0,675,'o nikito é zika',pt,namorenao,3404818793,pt,São Paulo Brasil,72,68,False,Aug 05 2015 22:04:52,,True,3175,None,None,False,0
ZIKA,706388346394820608,Mar 06 2016 07:58:00,Brasil,BR,Sao Paulo-Brazil,0,675,'O bre é zika',pt,namorenao,3404818793,pt,São Paulo Brasil,72,68,False,Aug 05 2015 22:04:52,,True,3175,None,None,False,0
ZIKA,706392986003836928,Mar 06 2016 08:16:26,Nigeria,NG,Abuja-Nigeria,0,31,'If u don't believe in him I and many others do We rather criticise objectively rather than rant like Zika Virus https//tco/OE7VycNMFJ',en,mbkusharki,4047645874,en,Abuja Nigeria,173,550,False,Oct 26 2015 17:16:03,A Computer Scientist with speciality in Cyber Security and Numerical Reasoning #jcinigeria #SDGs #YALInitiative #CyberSecurity #ICTNigeria Formerly @kusharki,True,397,West Central Africa,3600,False,0
ZIKA,706392533513826306,Mar 06 2016 08:14:38,Republika ng Pilipinas,PH,Makati City-National Capital Region,0,943,'Posted on https//tco/IY5e9riggt Add us on @Firechatapp for alerts &amp advisories even without Internet #Zika https//tco/aCgMvMwV44',en,InquirerMobile,2481914413,en,Makati City,2396,382,False,May 07 2014 11:15:35,Alerts advisories from the Inquirer Group on @firechatapp @kakaotalkPH @NAVER_Line_en @ViberPH @WeChatPH Also apps ePub @Kindle,True,7208,Hong Kong,28800,False,2
ZIKA,706391265844162560,Mar 06 2016 08:09:36,Republika ng Pilipinas,PH,Makati City-National Capital Region,0,2716,'Beware of the Zika virus guise ) https//tco/Ub3Uo3HBck',en,IamK3niTo,115876447,en,I ♥ GOD I ♥ MY FAMILY I ♥ U ♥,13804,450,False,Feb 20 2010 08:10:37,IG/Wechat/Path/Snapchat @iamk3nito Makati/Iloilo|ORCRN Leo♌️Traveler|Music|Fitspired Cynophilist|Sapiosexual|Foodies| Photos|Techie|Party|Sunsets|KingdomKid,True,56327,Singapore,28800,False,0
ZIKA,706396487069081600,Mar 06 2016 08:30:21,United States,US,Fallston-MD,0,6234,'Finding Investment Opportunity in the #ZikaVirus Outbreak https//tco/Pcr4STKP00 via @moneymorning #zika #stocks #investing #biotechnology',en,PrivateBrief,2353552285,en,Baltimore,1131,3338,False,Feb 20 2014 17:19:52,Executive Editor Private Briefing Money Map Press author of Contrarian Investing How to Buy and Sell When Others Won't and Make Money Doing It,True,15783,None,None,False,0
ZIKA,706408723246407681,Mar 06 2016 09:18:58,Nigeria,NG,Federal Capital Territory-Nigeria,0,89,'ALL includes Cancer HIV Zika virus and more strange ones Jesus is healing now #HealingTheChildrensBread @PastorGoodHeart #HOTRservice',en,HOTRREFUGE,110680437,en,City Gate Abuja Nigeria,5109,47,False,Feb 02 2010 11:56:13,The Refuge is a daughter Church of House on the Rock Churches with headquarters in Lagos,True,27237,West Central Africa,3600,False,0
ZIKA,706408644326379520,Mar 06 2016 09:18:39,France,FR,Paris-France,0,194,'Zika un nouveau dispositif antimoustiques écologique en NouvelleCalédonie https//tco/AmSS2rYF85 via @le_parisien',fr,primeahotels,1015761192,fr,Guadeloupe,343,1190,False,Dec 16 2012 18:11:05,Yves Brossard Primea Hotels Guadeloupe 34 ans dans le développement d'un tourisme de partage d'expériences #Guadeloupe #ilesGuadeloupe #visitGuadeloupe,True,485,None,None,False,0
ZIKA,706412793008939009,Mar 06 2016 09:35:09,Italia,IT,Matera-Basilicata,0,1446,"'""Zika virus Comics"" to Great Learning Be Informed by Facts!"" by @CimazaComics on @LinkedIn https//tco/0lEX8k5Djt https//tco/1BarLHZbWx'",en,CimazaComics,3288425003,en,Matera Basilicata,1641,4920,False,May 18 2015 13:56:27,PhD in Virology Cimaza Owner (a small co with an academic orientation that focuses on providing teaching methods by combining tools that are borrowed from Art,True,2488,None,None,False,0
ZIKA,706412524728688640,Mar 06 2016 09:34:05,Italia,IT,Matera-Basilicata,0,1446,"'""Zika virus Comics"" to Great Learning Be Informed by Facts!"" by @CimazaComics on @LinkedIn https//tco/0lEX8k5Djt https//tco/hg3IWbgwNZ'",en,CimazaComics,3288425003,en,Matera Basilicata,1641,4920,False,May 18 2015 13:56:27,PhD in Virology Cimaza Owner (a small co with an academic orientation that focuses on providing teaching methods by combining tools that are borrowed from Art,True,2488,None,None,False,0
ZIKA,706412091092115456,Mar 06 2016 09:32:21,Italia,IT,Matera-Basilicata,0,1446,"'""Zika virus Comics"" to Great Learning Be Informed by Facts!"" by @CimazaComics on @LinkedIn https//tco/0lEX8k5Djt https//tco/SWfm5JF4vf'",en,CimazaComics,3288425003,en,Matera Basilicata,1641,4920,False,May 18 2015 13:56:27,PhD in Virology Cimaza Owner (a small co with an academic orientation that focuses on providing teaching methods by combining tools that are borrowed from Art,True,2488,None,None,False,0
ZIKA,706411967657828353,Mar 06 2016 09:31:52,Republika ng Pilipinas,PH,Makati City-National Capital Region,0,4142,'Hello Zika you're in the Philippines! https//tco/1GpWWmxpe4',en,royVives,76065880,en,Makati Philippines,341,366,False,Sep 21 2009 16:20:53,regular Voltaire multimedia rebel film critic Inquirer Libre AZKALS fan Worships RAFA IG royVives NSC specialist,True,24501,Taipei,28800,False,0
ZIKA,706428261572677632,Mar 06 2016 10:36:37,España,ES,Barcelona-Spain,0,2754,'La historia social de un virus llamado Zika by JEAN BATOU https//tco/rHIHCUEyEG',es,PelDretalaSalut,444717995,es,,4066,1507,False,Dec 23 2011 15:19:56,Volem ser el lloc de trobada unitària per a tothom que defensi la salut pública i estigui en contra de les retallades,True,47024,Athens,7200,False,1
ZIKA,706427960086159361,Mar 06 2016 10:35:25,Brasil,BR,Rio de Janeiro-Brazil,0,14846,'ESSAS ANTILARRY VÃO TER ZIKA VÍRUS NO CU só avisando mesmo',pt,alascalouis,2416475545,pt,Rio de Janeiro Brasil,2621,3389,False,Mar 28 2014 21:12:06,aprendi que pra larrie não há saída,True,20668,Pacific Time (US & Canada),-28800,False,0
