Keyword,Id,CreatedAt,Country,Country_Code,State,RetweetedStatus,UsrFavouriteCount,Text,Lang,UsrName,UsrId,UsrLang,UsrLocation,UsrFollowersCount,UsrFriendsCount,UsrVerified,UsrCreatedAt,UsrDescription,UsrGeoEnabled,UsrStatuesCount,UsrTimeZone,UsrUtcOffset,Retweeted,Retweet_Cont
ZIKA,706342836724174848,Mar 06 2016 04:57:10,United States,US,Michigan,0,17510,'@mashlynnc Veronica just told me I look like I have the Zika virus with this filter',en,mashlynnc,389771164,en,Detroit MI,629,373,False,Oct 12 2011 23:46:57,I'm like a jack of all trades who's a master of none,True,23433,Eastern Time (US & Canada),-18000,False,0
ZIKA,706373490299924480,Mar 06 2016 06:58:58,United States,US,Louisiana,0,997,"'I'm gonna name my kid Zika And the rate I'm going my ""kid"" will be a dog'",en,KingCharles68,28746645,en,Breaux Bridge LA,101,418,False,Apr 04 2009 05:23:59,29 yrs old hometown Pine Prairie got my BS degree in Agribusiness in 2009 living in Breaux Bridge Mailman in New Iberia now married to Amanda,True,8201,Central Time (US & Canada),-21600,False,0
ZIKA,706396487069081600,Mar 06 2016 08:30:21,United States,US,Maryland,0,6234,'Finding Investment Opportunity in the #ZikaVirus Outbreak https//tco/Pcr4STKP00 via @moneymorning #zika #stocks #investing #biotechnology',en,PrivateBrief,2353552285,en,Baltimore,1131,3338,False,Feb 20 2014 17:19:52,Executive Editor Private Briefing Money Map Press author of Contrarian Investing How to Buy and Sell When Others Won't and Make Money Doing It,True,15783,None,None,False,0
ZIKA,706453298581217280,Mar 06 2016 12:16:06,United States,US,Washington,0,3973,'Nueva app alerta de la presencia del mosquito del #Zika y dengue https//tco/NKIjgWKAV4 v @materia_ciencia #DemandSolutions #salud',es,BID_Idear,344726222,es,Washington DC,92915,985,False,Jul 29 2011 14:03:52,Un ecosistema para inspirar innovación creatividad y emprendimiento #DemandSolutions,True,18035,Eastern Time (US & Canada),-18000,False,0
ZIKA,706484098483757057,Mar 06 2016 14:18:29,United States,US,Maryland,0,85,'American woman visited Philippines in January has tested positive for the Zika virus in the U https//tco/DvHCZFVq5f via @NewsRepublic',en,TheDon2108,257654105,en,BaltimoreMaryland,1673,2139,False,Feb 25 2011 22:11:52,Crazy fun loving dudeOne of knowledge of Godsoulcreationand the HereafterOnce wanted to died as a Thugbut then I finally grew up,True,71566,Eastern Time (US & Canada),-18000,False,0
ZIKA,706493196482842625,Mar 06 2016 14:54:38,United States,US,Michigan,0,4033,'one time my mom tried to call her work and tell them she couldn't come in because she had zika virus',en,gwenisgod,883116714,en,Kalamazoo MI,371,69,False,Oct 15 2012 21:05:59,i'm just a virgin who can't drive,True,5284,Atlantic Time (Canada),-14400,False,0
ZIKA,706498233439232000,Mar 06 2016 15:14:39,United States,US,New Jersey,0,564,'@_InGraTaX Coño ojalá no sea el Zika',es,brtaveras,450154321,es,,679,383,False,Dec 29 2011 23:05:16,Soy un DOMINICANO que vive orgulloso y feliz de ser cibaeño,True,18289,Eastern Time (US & Canada),-18000,False,0
ZIKA,706500480424280064,Mar 06 2016 15:23:35,United States,US,Arizona,0,273,'Via @NPR Study Finds Multiple Problems In Fetuses Exposed To Zika Virus https//tco/qLzOHjwLMi',en,PandoraReport,557784956,en,Fairfax Virginia USA,295,142,False,Apr 19 2012 15:02:56,George Mason Biodefense Where Science Meets Security,True,1864,Eastern Time (US & Canada),-18000,False,0
ZIKA,706514260470296576,Mar 06 2016 16:18:20,United States,US,Arizona,0,843,'Filming today for the most ambitious Risk Bites project yet covering Zika and microcephaly with versions in English Spanish &amp Portuguese',en,2020science,15480686,en,Tempe AZ,16535,256,False,Jul 18 2008 13:25:58,Scientist professor writer communicator stick figure drawer YouTube creator,True,21902,Quito,-18000,False,0
ZIKA,706512940640276480,Mar 06 2016 16:13:06,United States,US,California,0,16882,'@TEDTalks Bill Gates created the Zika virus Look it up',en,The_Bard_Life,75199068,en,The Center of the Earth,200,504,False,Sep 18 2009 04:26:22,I like Art and the illusion of movement Trademarked Catchphrase Oh Jesus!,True,6664,Pacific Time (US & Canada),-28800,False,0
ZIKA,706519090471571458,Mar 06 2016 16:37:32,United States,US,New Jersey,0,446,'Agreed Congenital Zika syndrome is real https//tco/TAKk1bmn78',en,profvrr,14095644,en,NYC,9253,310,False,Mar 07 2008 16:20:35,virus guru Earth's virology professor https//tco/957jAiDWfF host,True,5758,Eastern Time (US & Canada),-18000,False,0
